ID,Tweet,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
2017-En-20341,@GuardianAus @guardian because there is a realistic probability that a clown might be their next president. #clown #uspol ,True,False,False,False,False,False,False,False,False,False,False
2017-En-20857,"@ltsukis im love you, even if you bully me sadly",False,False,False,False,True,True,False,False,True,False,False
2017-En-41162,or when someone tells me I needa smile like excuse me ??? now I'm just frowning even harder are you happy,True,False,True,False,False,False,False,False,False,False,False
2017-En-31531,@SomeonesAnIdiot @Sean10Lynagh  due to hearty lawsuit NASCAR will raise beer prices $0.07 to accommodate for losses.,True,True,False,False,False,False,False,False,False,False,False
2017-En-20484,@siomo @NEWSTALK1010 20 says he gets reelected.....  #be #afraid,False,False,False,True,False,False,False,True,False,False,False
2017-En-31282,what does everyone have against sparkling water?!? such a bomb drink when you mix it with stuff,False,False,False,False,True,False,False,False,False,False,False
2017-En-22076,The cure for anxiety is an intimate relationship with Christ. - 1 John 4:18 ,False,False,False,True,False,True,True,False,False,False,False
2017-En-40011,At my age all I see is gray. Is it gray because of my bad eyes or my perspective #depression  #healingjustice,False,False,False,False,False,False,False,False,True,False,False
2017-En-20817,Why is it when you nap during the day you are so comfortable but sleeping at night you'll never be as comfortable ,True,True,False,False,False,False,False,False,True,False,False
2017-En-21530,"Ok this movie was good in it's time, and whilst we were young... 😂 Still enjoy a shy Ethan Hawk #BeforeSunrise",False,False,False,False,True,False,True,False,False,False,False
2017-En-21313,@CNN please fire don lemon!!Do not let him report on anymore  protest. He is #horrible #negative and runs away from the issue at hand!,True,False,True,False,False,False,False,False,False,False,False
2017-En-40605,@Bietron 🤓 dont be sad.. btw good night davina..go sleep larh..,False,False,False,False,False,True,True,False,True,False,False
2017-En-10323,Michelle is one of the worst players in bb history #bb18 #bbfinale ,True,False,True,False,False,False,False,True,False,False,False
2017-En-30664,@OrbsOfJoy plan a date... like a date u find pleasing or smth. fuckign\n\n10/10. because the child will grow to be a ten out of ten,True,False,True,False,True,False,False,False,False,False,False
2017-En-20486,Man Utd are shambles that was horrific 😭😭😭,True,False,True,True,False,False,False,False,True,False,False
2017-En-20120,Just had to reverse half way up the woods to collect the dog n I've never even reverse parked in my life 🙄 #nightmare,True,False,True,True,False,False,False,False,False,False,False
2017-En-11064,troubled soul don't loose your heart 'cause joy and peace he brings and the beauty that's in store outweighs the hurt of life's sting.,False,False,False,False,True,False,True,False,False,False,False
2017-En-10104,@kingvee_ don't provoke me to anger,True,False,True,False,False,False,False,False,False,False,False
2017-En-10929,Just seeing Alex revells face gets me angry,True,False,True,False,False,False,False,False,False,False,False
2017-En-40628,"@GriffinLaneP @Mediaite The Left has been protected so long, they've lost their reasoning power.",False,False,False,False,False,False,False,False,False,False,False
